code,won,lost,pct,record,note,tournaments
MEX,1,3,0.25,1W-3L,1/4 in WC shootouts,
RSA,0,0,0.5,No WC history,,
KOR,1,2,0.333,1W-2L,,
CZE,1,2,0.333,1W-2L,,
CAN,0,0,0.5,No WC history,,
BIH,0,0,0.5,No WC history,,
QAT,0,0,0.5,No WC history,,
SUI,2,2,0.5,2W-2L,,
BRA,3,2,0.6,3W-2L,,
MAR,1,1,0.5,1W-1L,,
HAI,0,0,0.5,No WC history,,
SCO,0,0,0.5,0W-0L,,
USA,1,1,0.5,1W-1L,,
PAR,1,2,0.333,1W-2L,,
AUS,0,1,0.0,0W-1L,,
TUR,0,1,0.333,0W-1L,,
GER,5,2,0.714,5W-2L,,"[1982, 1990, 2006, 2014, 2016]"
CUW,0,0,0.5,No WC history,,
CIV,0,0,0.5,No WC history,,
ECU,0,0,0.5,0W-0L,,
NED,2,4,0.333,2W-4L,,
JPN,0,3,0.0,0W-3L,0/3 in WC shootouts,
SWE,1,2,0.333,1W-2L,,
TUN,0,0,0.5,No WC history,,
BEL,1,2,0.333,1W-2L,,
EGY,0,0,0.5,No WC history,,
IRN,0,0,0.5,0W-0L,,
NZL,0,0,0.5,No WC history,,
ESP,3,3,0.5,3W-3L,,
CPV,0,0,0.5,No WC history,,
KSA,0,0,0.5,No WC history,,
URU,1,2,0.333,1W-2L,,
FRA,3,4,0.429,3W-4L,,
SEN,0,1,0.0,0W-1L,,
IRQ,0,0,0.5,No WC history,,
NOR,0,0,0.5,0W-0L,,
ARG,5,4,0.556,5W-4L,,
ALG,0,0,0.5,No WC history,,
AUT,0,0,0.5,No WC history,,
JOR,0,0,0.5,No WC history,,
POR,3,2,0.6,3W-2L,,
COD,0,0,0.5,No WC history,,
UZB,0,0,0.5,No WC history,,
COL,1,1,0.5,1W-1L,,
ENG,2,6,0.25,2W-6L,historically poor at penalties,
CRO,2,1,0.667,2W-1L,,
GHA,0,1,0.0,0W-1L,,
PAN,0,0,0.5,No WC history,,
