beta_mul,beta,team_a,team_b,elo_a,elo_b,elo_diff,expected_goals_a,expected_goals_b,p_a_win_90,p_draw_90,p_b_win_90,p_a_advance_ko,p_b_advance_ko
1.0,0.9884,ESP,ARG,2155.0,2114.0,41.0,1.389,1.134,0.4246,0.2713,0.3041,0.5589,0.4411
1.0,0.9884,ESP,FRA,2155.0,2062.0,93.0,1.579,0.997,0.5063,0.2571,0.2366,0.6319,0.3681
1.0,0.9884,ESP,BRA,2155.0,1991.0,164.0,1.882,0.837,0.618,0.223,0.159,0.7249,0.2751
1.0,0.9884,ESP,ENG,2155.0,2021.0,134.0,1.747,0.901,0.5712,0.2392,0.1896,0.6868,0.3132
1.0,0.9884,FRA,ARG,2062.0,2114.0,-52.0,1.103,1.427,0.2891,0.2692,0.4417,0.4254,0.5746
1.0,0.9884,ARG,BRA,2114.0,1991.0,123.0,1.7,0.926,0.5539,0.2445,0.2016,0.6724,0.3276
1.0,0.9884,BRA,ENG,1991.0,2021.0,-30.0,1.165,1.351,0.3194,0.2729,0.4077,0.4568,0.5432
1.0,0.9884,ESP,PAR,2155.0,1833.0,322.0,2.78,0.566,0.8308,0.119,0.0502,0.885,0.115
1.0,0.9884,ESP,BIH,2155.0,1595.0,560.0,3.6,0.315,0.9375,0.0508,0.0117,0.964,0.036
1.0,0.9884,GER,PAN,1932.0,1730.0,202.0,2.067,0.762,0.6754,0.1997,0.1249,0.77,0.23
0.85,0.8401,ESP,ARG,2155.0,2114.0,41.0,1.368,1.151,0.4152,0.2723,0.3126,0.5501,0.4499
0.85,0.8401,ESP,FRA,2155.0,2062.0,93.0,1.525,1.032,0.4842,0.2619,0.2538,0.6126,0.3874
0.85,0.8401,ESP,BRA,2155.0,1991.0,164.0,1.771,0.889,0.5797,0.2365,0.1838,0.6938,0.3062
0.85,0.8401,ESP,ENG,2155.0,2021.0,134.0,1.663,0.947,0.5395,0.2487,0.2119,0.6603,0.3397
0.85,0.8401,FRA,ARG,2062.0,2114.0,-52.0,1.125,1.4,0.2997,0.2707,0.4296,0.4365,0.5635
0.85,0.8401,ARG,BRA,2114.0,1991.0,123.0,1.625,0.969,0.5246,0.2526,0.2227,0.6477,0.3523
0.85,0.8401,BRA,ENG,1991.0,2021.0,-30.0,1.178,1.336,0.3257,0.2735,0.4008,0.4633,0.5367
0.85,0.8401,ESP,PAR,2155.0,1833.0,322.0,2.468,0.638,0.774,0.1514,0.0746,0.8441,0.1559
0.85,0.8401,ESP,BIH,2155.0,1595.0,560.0,3.6,0.387,0.9285,0.0561,0.0154,0.9579,0.0421
0.85,0.8401,GER,PAN,1932.0,1730.0,202.0,1.918,0.821,0.6298,0.2185,0.1516,0.7343,0.2657
0.7,0.6918,ESP,ARG,2155.0,2114.0,41.0,1.347,1.169,0.4057,0.2731,0.3212,0.5413,0.4587
0.7,0.6918,ESP,FRA,2155.0,2062.0,93.0,1.474,1.068,0.4622,0.266,0.2717,0.5931,0.4069
0.7,0.6918,ESP,BRA,2155.0,1991.0,164.0,1.666,0.945,0.5409,0.2483,0.2108,0.6615,0.3385
0.7,0.6918,ESP,ENG,2155.0,2021.0,134.0,1.582,0.995,0.5076,0.2568,0.2356,0.633,0.367
0.7,0.6918,FRA,ARG,2062.0,2114.0,-52.0,1.147,1.373,0.3104,0.272,0.4175,0.4477,0.5523
0.7,0.6918,ARG,BRA,2114.0,1991.0,123.0,1.552,1.014,0.4954,0.2596,0.245,0.6224,0.3776
0.7,0.6918,BRA,ENG,1991.0,2021.0,-30.0,1.191,1.322,0.3321,0.2739,0.394,0.4698,0.5302
0.7,0.6918,ESP,PAR,2155.0,1833.0,322.0,2.19,0.719,0.7091,0.1843,0.1065,0.7959,0.2041
0.7,0.6918,ESP,BIH,2155.0,1595.0,560.0,3.305,0.476,0.8968,0.0771,0.0261,0.9309,0.0691
0.7,0.6918,GER,PAN,1932.0,1730.0,202.0,1.779,0.885,0.5829,0.2354,0.1817,0.6964,0.3036
0.55,0.5436,ESP,ARG,2155.0,2114.0,41.0,1.327,1.187,0.3964,0.2738,0.3299,0.5325,0.4675
0.55,0.5436,ESP,FRA,2155.0,2062.0,93.0,1.424,1.106,0.4404,0.2694,0.2902,0.5734,0.4266
0.55,0.5436,ESP,BRA,2155.0,1991.0,164.0,1.568,1.004,0.5019,0.2582,0.24,0.6281,0.3719
0.55,0.5436,ESP,ENG,2155.0,2021.0,134.0,1.505,1.046,0.4758,0.2636,0.2606,0.6052,0.3948
0.55,0.5436,FRA,ARG,2062.0,2114.0,-52.0,1.169,1.347,0.3213,0.2731,0.4056,0.4588,0.5412
0.55,0.5436,ARG,BRA,2114.0,1991.0,123.0,1.483,1.062,0.4662,0.2653,0.2684,0.5967,0.4033
0.55,0.5436,BRA,ENG,1991.0,2021.0,-30.0,1.205,1.307,0.3385,0.2743,0.3872,0.4762,0.5238
0.55,0.5436,ESP,PAR,2155.0,1833.0,322.0,1.944,0.81,0.6381,0.2153,0.1466,0.7409,0.2591
0.55,0.5436,ESP,BIH,2155.0,1595.0,560.0,2.686,0.586,0.8152,0.1282,0.0566,0.8739,0.1261
0.55,0.5436,GER,PAN,1932.0,1730.0,202.0,1.651,0.954,0.535,0.2499,0.2151,0.6565,0.3435
0.4,0.3953,ESP,ARG,2155.0,2114.0,41.0,1.307,1.205,0.3871,0.2743,0.3387,0.5236,0.4764
0.4,0.3953,ESP,FRA,2155.0,2062.0,93.0,1.376,1.145,0.4188,0.2719,0.3093,0.5535,0.4465
0.4,0.3953,ESP,BRA,2155.0,1991.0,164.0,1.476,1.067,0.463,0.2659,0.2711,0.5938,0.4062
0.4,0.3953,ESP,ENG,2155.0,2021.0,134.0,1.432,1.099,0.4442,0.2688,0.287,0.5768,0.4232
0.4,0.3953,FRA,ARG,2062.0,2114.0,-52.0,1.192,1.321,0.3324,0.2739,0.3937,0.47,0.53
0.4,0.3953,ARG,BRA,2114.0,1991.0,123.0,1.417,1.111,0.4374,0.2698,0.2929,0.5706,0.4294
0.4,0.3953,BRA,ENG,1991.0,2021.0,-30.0,1.218,1.293,0.345,0.2745,0.3804,0.4827,0.5173
0.4,0.3953,ESP,PAR,2155.0,1833.0,322.0,1.725,0.913,0.563,0.2418,0.1952,0.68,0.32
0.4,0.3953,ESP,BIH,2155.0,1595.0,560.0,2.182,0.721,0.7072,0.1853,0.1076,0.7944,0.2056
0.4,0.3953,GER,PAN,1932.0,1730.0,202.0,1.532,1.028,0.487,0.2614,0.2516,0.6151,0.3849
