team,group_survival_prob,r16_prob,qf_prob,sf_prob,final_prob,champion_prob,runner_up_prob,third_place_prob,fourth_place_prob
ESP,0.98042,0.70343,0.50622,0.37675,0.26293,0.1729,0.09003,0.07844,0.03538
ARG,0.95414,0.64716,0.48737,0.34251,0.2295,0.14568,0.08382,0.07766,0.03535
FRA,0.91454,0.66424,0.44616,0.28964,0.17003,0.09848,0.07155,0.07558,0.04403
ENG,0.93504,0.60975,0.37305,0.22519,0.12734,0.06843,0.05891,0.05785,0.04
BRA,0.92183,0.58707,0.35888,0.20831,0.10806,0.0562,0.05186,0.0581,0.04215
POR,0.87845,0.55059,0.31747,0.17771,0.09801,0.0495,0.04851,0.04536,0.03434
COL,0.8814,0.55118,0.31944,0.17704,0.09653,0.04774,0.04879,0.0456,0.03491
NED,0.86718,0.49716,0.28798,0.14855,0.06938,0.03245,0.03693,0.04092,0.03825
ECU,0.922,0.55394,0.28678,0.1528,0.06949,0.03191,0.03758,0.04202,0.04129
GER,0.90863,0.54278,0.27948,0.1498,0.06819,0.03024,0.03795,0.04172,0.03989
MEX,0.98294,0.61033,0.30976,0.15055,0.0661,0.0284,0.0377,0.04218,0.04227
NOR,0.77456,0.45763,0.24809,0.1245,0.05557,0.02338,0.03219,0.03291,0.03602
CRO,0.85506,0.45726,0.22707,0.11407,0.05413,0.02304,0.03109,0.02947,0.03047
JPN,0.84472,0.4585,0.25136,0.12035,0.05225,0.02179,0.03046,0.03293,0.03517
SUI,0.92142,0.54685,0.26789,0.11571,0.05071,0.02179,0.02892,0.03008,0.03492
BEL,0.87784,0.50567,0.2562,0.10918,0.05114,0.02122,0.02992,0.02719,0.03085
URU,0.8586,0.40264,0.22227,0.10888,0.05168,0.02087,0.03081,0.02665,0.03055
TUR,0.8002,0.47562,0.23196,0.1017,0.04598,0.01939,0.02659,0.0259,0.02982
SEN,0.71576,0.39369,0.19922,0.08895,0.03697,0.0139,0.02307,0.02296,0.02902
MAR,0.75973,0.36403,0.17037,0.07161,0.02649,0.00921,0.01728,0.01872,0.0264
USA,0.94302,0.48904,0.20356,0.07039,0.02705,0.009,0.01805,0.01581,0.02753
CAN,0.83802,0.43318,0.18756,0.06862,0.0247,0.00848,0.01622,0.01674,0.02718
KOR,0.94611,0.47774,0.18914,0.06988,0.02238,0.00727,0.01511,0.01689,0.03061
AUT,0.68239,0.26038,0.12268,0.05193,0.02083,0.0068,0.01403,0.01279,0.01831
IRN,0.75619,0.34387,0.13181,0.0452,0.01594,0.00491,0.01103,0.0105,0.01876
SCO,0.69304,0.29234,0.12206,0.04448,0.01411,0.00463,0.00948,0.0106,0.01977
AUS,0.61307,0.28945,0.10959,0.0381,0.01274,0.00388,0.00886,0.00915,0.01621
PAR,0.36743,0.17094,0.06728,0.02642,0.00927,0.00329,0.00598,0.0068,0.01035
ALG,0.56852,0.18693,0.07702,0.02646,0.00938,0.00265,0.00673,0.00591,0.01117
PAN,0.63325,0.22789,0.0775,0.02576,0.00775,0.00198,0.00577,0.00586,0.01215
CZE,0.53553,0.21171,0.07205,0.02337,0.00656,0.00175,0.00481,0.00519,0.01162
SWE,0.55651,0.20757,0.07397,0.0236,0.00676,0.00174,0.00502,0.00541,0.01143
CIV,0.6376,0.23362,0.07435,0.02337,0.00595,0.00158,0.00437,0.0051,0.01232
EGY,0.63858,0.23901,0.07659,0.02215,0.00652,0.00147,0.00505,0.00462,0.01101
UZB,0.50249,0.17433,0.0574,0.01823,0.00513,0.00123,0.0039,0.00381,0.00929
COD,0.39735,0.11933,0.03331,0.00898,0.00224,0.00055,0.00169,0.00187,0.00487
JOR,0.42663,0.1124,0.0364,0.00987,0.00258,0.00052,0.00206,0.00187,0.00542
TUN,0.40927,0.12362,0.03618,0.00885,0.00212,0.00049,0.00163,0.00181,0.00492
BIH,0.6528,0.21312,0.05955,0.013,0.00276,0.00042,0.00234,0.00231,0.00793
IRQ,0.28356,0.08883,0.02636,0.00579,0.00112,0.00027,0.00085,0.00103,0.00364
CPV,0.36868,0.08536,0.0242,0.00473,0.0008,0.00013,0.00067,0.00085,0.00308
NZL,0.41602,0.10457,0.023,0.0044,0.00076,0.00013,0.00063,0.00075,0.00289
KSA,0.34256,0.07838,0.02138,0.00423,0.00074,0.00013,0.00061,0.00079,0.0027
HAI,0.30294,0.07152,0.01652,0.00313,0.00056,8e-05,0.00048,0.00043,0.00214
RSA,0.22047,0.05123,0.01016,0.00186,0.00029,6e-05,0.00023,0.00027,0.0013
GHA,0.23987,0.04589,0.00949,0.00183,0.00031,2e-05,0.00029,0.00031,0.00121
CUW,0.20211,0.03606,0.005,0.00067,7e-05,2e-05,5e-05,0.00011,0.00049
QAT,0.27153,0.05217,0.00887,0.0009,0.0001,0.0,0.0001,0.00018,0.00062
