segment,n,metric,full_production,dc_only,market,blend_best,best_alpha
2018,64,rps,0.2368,0.2358,0.1967,0.1967,1.0
2018,64,nll,1.0591,1.0567,0.9418,0.9418,1.0
2018,64,brier,0.6395,0.6378,0.5573,0.5573,1.0
2018,64,acc,0.4844,0.4688,0.5625,0.5625,1.0
2018,64,ece,0.0867,0.0463,0.0473,0.0473,1.0
2022,64,rps,0.2307,0.2324,0.2072,0.2066,0.9
2022,64,nll,1.0645,1.0688,0.9982,0.9929,0.9
2022,64,brier,0.6412,0.6448,0.5834,0.583,0.9
2022,64,acc,0.5,0.4844,0.5312,0.5312,0.9
2022,64,ece,0.1311,0.1708,0.1014,0.1163,0.9
pooled,128,rps,0.2338,0.2341,0.202,0.202,1.0
pooled,128,nll,1.0618,1.0627,0.97,0.97,1.0
pooled,128,brier,0.6403,0.6413,0.5703,0.5703,1.0
pooled,128,acc,0.4922,0.4766,0.5469,0.5469,1.0
pooled,128,ece,0.1089,0.0995,0.0469,0.0469,1.0
