team,group,r32_opp_strength,qf_opp_strength,sf_opp_strength,bracket_difficulty_index,rank
CZE,A,2.15,2.84,3.114,26.327,1
KOR,A,2.15,2.84,3.114,26.325,2
RSA,A,2.15,2.838,3.108,26.306,3
BIH,B,2.136,2.841,3.112,26.265,4
QAT,B,2.136,2.841,3.111,26.261,5
AUS,D,2.133,2.84,3.114,26.257,6
PAR,D,2.133,2.838,3.114,26.253,7
IRN,G,2.131,2.84,3.115,26.253,8
TUR,D,2.133,2.838,3.114,26.251,9
EGY,G,2.131,2.839,3.114,26.246,10
SUI,B,2.136,2.832,3.11,26.229,11
MEX,A,2.15,2.818,3.098,26.211,12
NZL,G,2.131,2.834,3.103,26.202,13
TUN,F,2.113,2.839,3.113,26.174,14
USA,D,2.133,2.823,3.103,26.17,15
SWE,F,2.113,2.836,3.113,26.161,16
CAN,B,2.136,2.817,3.097,26.146,17
NED,F,2.113,2.83,3.108,26.128,18
CIV,E,2.099,2.84,3.114,26.121,19
ECU,E,2.099,2.833,3.111,26.093,20
CUW,E,2.099,2.832,3.1,26.058,21
JPN,F,2.113,2.817,3.098,26.056,22
BEL,G,2.131,2.793,3.074,25.987,23
UZB,K,2.066,2.838,3.108,25.97,24
GHA,L,2.061,2.839,3.112,25.961,25
PAN,L,2.061,2.838,3.109,25.948,26
COD,K,2.066,2.835,3.104,25.947,27
SCO,C,2.042,2.839,3.114,25.891,28
CRO,L,2.061,2.824,3.104,25.886,29
ALG,J,2.043,2.836,3.112,25.877,30
KSA,H,2.041,2.838,3.109,25.868,31
CPV,H,2.041,2.836,3.105,25.852,32
JOR,J,2.043,2.834,3.104,25.85,33
AUT,J,2.043,2.83,3.109,25.849,34
HAI,C,2.042,2.832,3.1,25.832,35
COL,K,2.066,2.807,3.088,25.808,36
URU,H,2.041,2.824,3.104,25.805,37
MAR,C,2.042,2.81,3.091,25.728,38
IRQ,I,1.984,2.837,3.108,25.634,39
GER,E,2.099,2.754,3.029,25.608,40
NOR,I,1.984,2.823,3.103,25.574,41
SEN,I,1.984,2.819,3.099,25.549,42
POR,K,2.066,2.722,2.992,25.274,43
ENG,L,2.061,2.705,2.971,25.138,44
BRA,C,2.042,2.694,2.959,24.994,45
ARG,J,2.043,2.672,2.929,24.846,46
ESP,H,2.041,2.646,2.893,24.657,47
FRA,I,1.984,2.617,2.856,24.235,48
