group,entropy,normalized_entropy,teams,min_survival,max_survival,rank
D,1.5466,0.7733,USA PAR TUR AUS,0.6367,0.7304,1
F,1.5429,0.7715,JPN NED SWE TUN,0.6208,0.725,2
A,1.5383,0.7691,MEX KOR CZE RSA,0.5847,0.7594,3
B,1.5362,0.7681,CAN SUI BIH QAT,0.6008,0.7528,4
G,1.5231,0.7615,BEL IRN EGY NZL,0.5385,0.7849,5
L,1.5196,0.7598,ENG CRO GHA PAN,0.5591,0.813,6
I,1.5092,0.7546,FRA SEN NOR IRQ,0.5002,0.8148,7
E,1.507,0.7535,GER ECU CIV CUW,0.5003,0.8091,8
J,1.5068,0.7534,ARG AUT ALG JOR,0.5059,0.8197,9
H,1.506,0.753,ESP URU KSA CPV,0.5353,0.8408,10
K,1.5023,0.7511,POR COL UZB COD,0.53,0.8172,11
C,1.4935,0.7468,BRA MAR SCO HAI,0.4771,0.8216,12
